[ERROR] 2020-06-17 17:13:11,030 | Mars.Core.SimulationStarter.SimulationStarter - Exception message: 
[ERROR] 2020-06-17 17:13:11,030 | Mars.Core.SimulationStarter.SimulationStarter - ######################################################## 
[ERROR] 2020-06-17 17:13:11,030 | Mars.Core.SimulationStarter.SimulationStarter - One or more errors occurred. (Collection was modified; enumeration operation may not execute.) (Collection was modified; enumeration operation may not execute.) 
[ERROR] 2020-06-17 17:13:11,030 | Mars.Core.SimulationStarter.SimulationStarter - ######################################################## 
[ERROR] 2020-06-17 17:16:59,400 | Mars.Core.SimulationStepExecutor.Implementation.StepExecutionUseCase - Collection was modified; enumeration operation may not execute. 
[ERROR] 2020-06-17 17:16:59,410 | Mars.Core.SimulationStarter.SimulationStarter - MARS simulation execution crashed by AggregateException 
[ERROR] 2020-06-17 17:16:59,410 | Mars.Core.SimulationStarter.SimulationStarter - Exception message: 
[ERROR] 2020-06-17 17:16:59,410 | Mars.Core.SimulationStarter.SimulationStarter - ######################################################## 
[ERROR] 2020-06-17 17:16:59,410 | Mars.Core.SimulationStarter.SimulationStarter - One or more errors occurred. (Collection was modified; enumeration operation may not execute.) (Collection was modified; enumeration operation may not execute.) 
[ERROR] 2020-06-17 17:16:59,410 | Mars.Core.SimulationStarter.SimulationStarter - ######################################################## 
[ERROR] 2020-06-17 17:28:14,471 | Mars.Core.SimulationStepExecutor.Implementation.StepExecutionUseCase - Collection was modified; enumeration operation may not execute. 
[ERROR] 2020-06-17 17:28:14,480 | Mars.Core.SimulationStarter.SimulationStarter - MARS simulation execution crashed by AggregateException 
[ERROR] 2020-06-17 17:28:14,480 | Mars.Core.SimulationStarter.SimulationStarter - Exception message: 
[ERROR] 2020-06-17 17:28:14,480 | Mars.Core.SimulationStarter.SimulationStarter - ######################################################## 
[ERROR] 2020-06-17 17:28:14,480 | Mars.Core.SimulationStarter.SimulationStarter - One or more errors occurred. (Collection was modified; enumeration operation may not execute.) (Collection was modified; enumeration operation may not execute.) 
[ERROR] 2020-06-17 17:28:14,480 | Mars.Core.SimulationStarter.SimulationStarter - ######################################################## 
[ERROR] 2020-06-17 17:28:58,280 | Mars.Core.SimulationStepExecutor.Implementation.StepExecutionUseCase - Collection was modified; enumeration operation may not execute. 
[ERROR] 2020-06-17 17:28:58,291 | Mars.Core.SimulationStarter.SimulationStarter - MARS simulation execution crashed by AggregateException 
[ERROR] 2020-06-17 17:28:58,291 | Mars.Core.SimulationStarter.SimulationStarter - Exception message: 
[ERROR] 2020-06-17 17:28:58,291 | Mars.Core.SimulationStarter.SimulationStarter - ######################################################## 
[ERROR] 2020-06-17 17:28:58,291 | Mars.Core.SimulationStarter.SimulationStarter - One or more errors occurred. (Collection was modified; enumeration operation may not execute.) (Collection was modified; enumeration operation may not execute.) 
[ERROR] 2020-06-17 17:28:58,291 | Mars.Core.SimulationStarter.SimulationStarter - ######################################################## 
